H,condition,distance,layer,metric,sample_id
0,permutation_seed=28,9.956174564348721,conv1,wasserstein,0
1,permutation_seed=28,15.000126619908963,conv1,wasserstein,0
0,permutation_seed=28,18.922036975622177,conv2,wasserstein,0
1,permutation_seed=28,14.153373397897953,conv2,wasserstein,0
0,permutation_seed=28,31.72687103086912,conv3,wasserstein,0
1,permutation_seed=28,9.863602935032464,conv3,wasserstein,0
0,permutation_seed=28,0.0,pooled,wasserstein,0
1,permutation_seed=28,0.0,pooled,wasserstein,0
0,permutation_seed=29,10.14707227051258,conv1,wasserstein,0
1,permutation_seed=29,8.578348568096311,conv1,wasserstein,0
0,permutation_seed=29,11.036302104592323,conv2,wasserstein,0
1,permutation_seed=29,12.270734607901236,conv2,wasserstein,0
0,permutation_seed=29,24.499535883121442,conv3,wasserstein,0
1,permutation_seed=29,11.965416847451086,conv3,wasserstein,0
0,permutation_seed=29,0.0,pooled,wasserstein,0
1,permutation_seed=29,0.0,pooled,wasserstein,0
0,adv_pgd_l2_eps=0.2,3.065033532679081,input,wasserstein,1
1,adv_pgd_l2_eps=0.2,3.1697598480147606,input,wasserstein,1
0,adv_pgd_l2_eps=0.2,11.043469280004501,conv1,wasserstein,1
1,adv_pgd_l2_eps=0.2,9.153660998771693,conv1,wasserstein,1
0,adv_pgd_l2_eps=0.2,20.962403774261475,conv2,wasserstein,1
1,adv_pgd_l2_eps=0.2,16.101229169240952,conv2,wasserstein,1
0,adv_pgd_l2_eps=0.2,15.535101622343063,conv3,wasserstein,1
1,adv_pgd_l2_eps=0.2,12.983045526834776,conv3,wasserstein,1
0,adv_pgd_l2_eps=0.2,0.0,pooled,wasserstein,1
1,adv_pgd_l2_eps=0.2,0.0,pooled,wasserstein,1
0,adv_pgd_l2_eps=0.4,1.6901184022426605,input,wasserstein,1
1,adv_pgd_l2_eps=0.4,2.8241158391602714,input,wasserstein,1
0,adv_pgd_l2_eps=0.4,13.88448417186737,conv1,wasserstein,1
1,adv_pgd_l2_eps=0.4,11.57076159984372,conv1,wasserstein,1
0,adv_pgd_l2_eps=0.4,23.974584457570494,conv2,wasserstein,1
1,adv_pgd_l2_eps=0.4,19.84899998902691,conv2,wasserstein,1
0,adv_pgd_l2_eps=0.4,10.672308444976807,conv3,wasserstein,1
1,adv_pgd_l2_eps=0.4,11.949850164840624,conv3,wasserstein,1
0,adv_pgd_l2_eps=0.4,0.0,pooled,wasserstein,1
1,adv_pgd_l2_eps=0.4,0.0,pooled,wasserstein,1
0,adv_fgsm_l2_eps=0.2,2.8611702919006348,input,wasserstein,1
1,adv_fgsm_l2_eps=0.2,3.689768924753848,input,wasserstein,1
0,adv_fgsm_l2_eps=0.2,11.14755529165268,conv1,wasserstein,1
1,adv_fgsm_l2_eps=0.2,10.628867534135328,conv1,wasserstein,1
0,adv_fgsm_l2_eps=0.2,13.555400341749191,conv2,wasserstein,1
1,adv_fgsm_l2_eps=0.2,17.654088905453825,conv2,wasserstein,1
0,adv_fgsm_l2_eps=0.2,15.3126640021801,conv3,wasserstein,1
1,adv_fgsm_l2_eps=0.2,12.800035167786344,conv3,wasserstein,1
0,adv_fgsm_l2_eps=0.2,0.0,pooled,wasserstein,1
1,adv_fgsm_l2_eps=0.2,0.0,pooled,wasserstein,1
0,adv_fgsm_l2_eps=0.4,3.722751773893833,input,wasserstein,1
1,adv_fgsm_l2_eps=0.4,3.9768714401209184,input,wasserstein,1
0,adv_fgsm_l2_eps=0.4,7.142638206481934,conv1,wasserstein,1
1,adv_fgsm_l2_eps=0.4,13.812983047600117,conv1,wasserstein,1
0,adv_fgsm_l2_eps=0.4,24.973407566547394,conv2,wasserstein,1
1,adv_fgsm_l2_eps=0.4,18.172793848616994,conv2,wasserstein,1
0,adv_fgsm_l2_eps=0.4,14.943600535392761,conv3,wasserstein,1
1,adv_fgsm_l2_eps=0.4,12.994295784699581,conv3,wasserstein,1
0,adv_fgsm_l2_eps=0.4,0.0,pooled,wasserstein,1
1,adv_fgsm_l2_eps=0.4,0.0,pooled,wasserstein,1
0,adv_cw_l2_eps=0.2,2.188369259238243,input,wasserstein,1
1,adv_cw_l2_eps=0.2,2.4409686641182398,input,wasserstein,1
0,adv_cw_l2_eps=0.2,16.768350958824158,conv1,wasserstein,1
1,adv_cw_l2_eps=0.2,11.39316792728242,conv1,wasserstein,1
0,adv_cw_l2_eps=0.2,26.885996347252174,conv2,wasserstein,1
1,adv_cw_l2_eps=0.2,18.010283752311913,conv2,wasserstein,1
0,adv_cw_l2_eps=0.2,10.434658750891685,conv3,wasserstein,1
1,adv_cw_l2_eps=0.2,12.080706328441712,conv3,wasserstein,1
0,adv_cw_l2_eps=0.2,0.0,pooled,wasserstein,1
1,adv_cw_l2_eps=0.2,0.0,pooled,wasserstein,1
0,adv_cw_l2_eps=0.4,2.1487764194607735,input,wasserstein,1
1,adv_cw_l2_eps=0.4,3.068007529513732,input,wasserstein,1
0,adv_cw_l2_eps=0.4,11.403692305088043,conv1,wasserstein,1
1,adv_cw_l2_eps=0.4,12.471149747564112,conv1,wasserstein,1
0,adv_cw_l2_eps=0.4,28.02020901441574,conv2,wasserstein,1
1,adv_cw_l2_eps=0.4,18.476448907884812,conv2,wasserstein,1
0,adv_cw_l2_eps=0.4,14.648122787475586,conv3,wasserstein,1
1,adv_cw_l2_eps=0.4,16.58336094065028,conv3,wasserstein,1
0,adv_cw_l2_eps=0.4,0.0,pooled,wasserstein,1
1,adv_cw_l2_eps=0.4,0.0,pooled,wasserstein,1
0,noise_floor,3.447831153869629,input,wasserstein,1
1,noise_floor,3.0883167557443696,input,wasserstein,1
0,noise_floor,8.912170350551605,conv1,wasserstein,1
1,noise_floor,9.818352388143424,conv1,wasserstein,1
0,noise_floor,13.879092872142792,conv2,wasserstein,1
1,noise_floor,15.93331454995056,conv2,wasserstein,1
0,noise_floor,12.041598126292229,conv3,wasserstein,1
1,noise_floor,12.084384973325077,conv3,wasserstein,1
0,noise_floor,0.0,pooled,wasserstein,1
1,noise_floor,0.0,pooled,wasserstein,1
0,permutation_seed=0,12.664112865924835,conv1,wasserstein,1
1,permutation_seed=0,10.100485410190725,conv1,wasserstein,1
0,permutation_seed=0,18.726638078689575,conv2,wasserstein,1
1,permutation_seed=0,17.20086760857538,conv2,wasserstein,1
0,permutation_seed=0,17.466781422495842,conv3,wasserstein,1
1,permutation_seed=0,13.275627575862906,conv3,wasserstein,1
0,permutation_seed=0,0.0,pooled,wasserstein,1
1,permutation_seed=0,0.0,pooled,wasserstein,1
0,permutation_seed=1,10.198670595884323,conv1,wasserstein,1
1,permutation_seed=1,10.216094964541252,conv1,wasserstein,1
0,permutation_seed=1,13.320680022239685,conv2,wasserstein,1
1,permutation_seed=1,17.700980266451804,conv2,wasserstein,1
0,permutation_seed=1,21.789176791906357,conv3,wasserstein,1
1,permutation_seed=1,17.146174743361897,conv3,wasserstein,1
0,permutation_seed=1,0.0,pooled,wasserstein,1
1,permutation_seed=1,0.0,pooled,wasserstein,1
0,permutation_seed=2,16.096362590789795,conv1,wasserstein,1
1,permutation_seed=2,11.095096772654461,conv1,wasserstein,1
0,permutation_seed=2,17.669811993837357,conv2,wasserstein,1
1,permutation_seed=2,17.323488844685848,conv2,wasserstein,1
0,permutation_seed=2,31.368116492188133,conv3,wasserstein,1
1,permutation_seed=2,16.09658341587489,conv3,wasserstein,1
0,permutation_seed=2,0.0,pooled,wasserstein,1
1,permutation_seed=2,0.0,pooled,wasserstein,1
0,permutation_seed=3,7.350002467632294,conv1,wasserstein,1
1,permutation_seed=3,10.425463496769831,conv1,wasserstein,1
0,permutation_seed=3,20.19693285226822,conv2,wasserstein,1
1,permutation_seed=3,18.80256467007925,conv2,wasserstein,1
0,permutation_seed=3,14.057319894433022,conv3,wasserstein,1
1,permutation_seed=3,12.531292922630747,conv3,wasserstein,1
0,permutation_seed=3,0.0,pooled,wasserstein,1
1,permutation_seed=3,0.0,pooled,wasserstein,1
0,permutation_seed=4,11.528697550296783,conv1,wasserstein,1
1,permutation_seed=4,9.563976851516392,conv1,wasserstein,1
0,permutation_seed=4,21.09639409184456,conv2,wasserstein,1
1,permutation_seed=4,17.2321707204316,conv2,wasserstein,1
0,permutation_seed=4,13.706708922982216,conv3,wasserstein,1
1,permutation_seed=4,17.104516272231017,conv3,wasserstein,1
0,permutation_seed=4,0.0,pooled,wasserstein,1
1,permutation_seed=4,0.0,pooled,wasserstein,1
0,permutation_seed=5,11.476809203624725,conv1,wasserstein,1
1,permutation_seed=5,10.915474666340934,conv1,wasserstein,1
0,permutation_seed=5,21.44055277109146,conv2,wasserstein,1
1,permutation_seed=5,13.917841807345617,conv2,wasserstein,1
0,permutation_seed=5,14.393690466880798,conv3,wasserstein,1
1,permutation_seed=5,15.154580502310498,conv3,wasserstein,1
0,permutation_seed=5,0.0,pooled,wasserstein,1
1,permutation_seed=5,0.0,pooled,wasserstein,1
0,permutation_seed=6,8.0159110724926,conv1,wasserstein,1
