betti,condition,count,layer,max_persistence,mean_persistence,sample_id,total_persistence
H1,adv_linf_eps=0.4,72.0,fc2,1.3977547883987427,0.303723216884666,5,21.868071615695953
H0,adv_linf_eps=0.4,199.0,fc3,3.1159253120422363,1.298564712006842,5,258.4143776893616
H1,adv_linf_eps=0.4,59.0,fc3,2.0398666858673096,0.5513065932160717,5,32.52708899974823
H0,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,5,0.0
H1,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,5,0.0
H0,adv_l2_eps=0.2,199.0,input,0.9151276350021362,0.4297064653218691,5,85.51158659905195
H1,adv_l2_eps=0.2,86.0,input,1.2438223958015442,0.16787178606487985,5,14.436973601579666
H0,adv_l2_eps=0.2,199.0,fc1,1.2990641593933105,0.6319621073540731,5,125.76045936346054
H1,adv_l2_eps=0.2,78.0,fc1,1.1855660676956177,0.2190694694335644,5,17.087418615818024
H0,adv_l2_eps=0.2,199.0,fc2,2.0095670223236084,0.8285046884761983,5,164.87243300676346
H1,adv_l2_eps=0.2,72.0,fc2,1.3977547883987427,0.303723216884666,5,21.868071615695953
H0,adv_l2_eps=0.2,199.0,fc3,3.1159253120422363,1.298564712006842,5,258.4143776893616
H1,adv_l2_eps=0.2,59.0,fc3,2.0398666858673096,0.5513065932160717,5,32.52708899974823
H0,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,5,0.0
H1,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,5,0.0
H0,adv_l2_eps=0.4,199.0,input,0.9151276350021362,0.4297064653218691,5,85.51158659905195
H1,adv_l2_eps=0.4,86.0,input,1.2438223958015442,0.16787178606487985,5,14.436973601579666
H0,adv_l2_eps=0.4,199.0,fc1,1.2990641593933105,0.6319621073540731,5,125.76045936346054
H1,adv_l2_eps=0.4,78.0,fc1,1.1855660676956177,0.2190694694335644,5,17.087418615818024
H0,adv_l2_eps=0.4,199.0,fc2,2.0095670223236084,0.8285046884761983,5,164.87243300676346
H1,adv_l2_eps=0.4,72.0,fc2,1.3977547883987427,0.303723216884666,5,21.868071615695953
H0,adv_l2_eps=0.4,199.0,fc3,3.1159253120422363,1.298564712006842,5,258.4143776893616
H1,adv_l2_eps=0.4,59.0,fc3,2.0398666858673096,0.5513065932160717,5,32.52708899974823
H0,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,5,0.0
H1,adv_l2_eps=0.4,0.0,pooled,0.0,0.0,5,0.0
H0,adv_linf_eps=0.2,199.0,input,0.3928492069244385,0.1714134513723416,6,34.11127682309598
H1,adv_linf_eps=0.2,70.0,input,0.35320377349853516,0.06314017793961933,6,4.419812455773354
H0,adv_linf_eps=0.2,199.0,fc1,0.5299702286720276,0.22657230342902132,6,45.08788838237524
H1,adv_linf_eps=0.2,62.0,fc1,0.4877082407474518,0.09159447372921052,6,5.678857371211052
H0,adv_linf_eps=0.2,199.0,fc2,0.696225643157959,0.27671317452911154,6,55.0659217312932
H1,adv_linf_eps=0.2,58.0,fc2,0.554502546787262,0.10485866601611006,6,6.081802628934383
H0,adv_linf_eps=0.2,199.0,fc3,1.2042839527130127,0.3701946490617403,6,73.66873516328633
H1,adv_linf_eps=0.2,51.0,fc3,0.8065193891525269,0.12526453330236323,6,6.388491198420525
H0,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,6,0.0
H1,adv_linf_eps=0.2,0.0,pooled,0.0,0.0,6,0.0
H0,adv_linf_eps=0.4,199.0,input,0.3928492069244385,0.1714134513723416,6,34.11127682309598
H1,adv_linf_eps=0.4,70.0,input,0.35320377349853516,0.06314017793961933,6,4.419812455773354
H0,adv_linf_eps=0.4,199.0,fc1,0.5299702286720276,0.22657230342902132,6,45.08788838237524
H1,adv_linf_eps=0.4,62.0,fc1,0.4877082407474518,0.09159447372921052,6,5.678857371211052
H0,adv_linf_eps=0.4,199.0,fc2,0.696225643157959,0.27671317452911154,6,55.0659217312932
H1,adv_linf_eps=0.4,58.0,fc2,0.554502546787262,0.10485866601611006,6,6.081802628934383
H0,adv_linf_eps=0.4,199.0,fc3,1.2042839527130127,0.3701946490617403,6,73.66873516328633
H1,adv_linf_eps=0.4,51.0,fc3,0.8065193891525269,0.12526453330236323,6,6.388491198420525
H0,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,6,0.0
H1,adv_linf_eps=0.4,0.0,pooled,0.0,0.0,6,0.0
H0,adv_l2_eps=0.2,199.0,input,0.3928492069244385,0.1714134513723416,6,34.11127682309598
H1,adv_l2_eps=0.2,70.0,input,0.35320377349853516,0.06314017793961933,6,4.419812455773354
H0,adv_l2_eps=0.2,199.0,fc1,0.5299702286720276,0.22657230342902132,6,45.08788838237524
H1,adv_l2_eps=0.2,62.0,fc1,0.4877082407474518,0.09159447372921052,6,5.678857371211052
H0,adv_l2_eps=0.2,199.0,fc2,0.696225643157959,0.27671317452911154,6,55.0659217312932
H1,adv_l2_eps=0.2,58.0,fc2,0.554502546787262,0.10485866601611006,6,6.081802628934383
H0,adv_l2_eps=0.2,199.0,fc3,1.2042839527130127,0.3701946490617403,6,73.66873516328633
H1,adv_l2_eps=0.2,51.0,fc3,0.8065193891525269,0.12526453330236323,6,6.388491198420525
H0,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,6,0.0
H1,adv_l2_eps=0.2,0.0,pooled,0.0,0.0,6,0.0
H0,adv_l2_eps=0.4,199.0,input,0.3928492069244385,0.1714134513723416,6,34.11127682309598
H1,adv_l2_eps=0.4,70.0,input,0.35320377349853516,0.06314017793961933,6,4.419812455773354
H0,adv_l2_eps=0.4,199.0,fc1,0.5299702286720276,0.22657230342902132,6,45.08788838237524
H1,adv_l2_eps=0.4,62.0,fc1,0.4877082407474518,0.09159447372921052,6,5.678857371211052
H0,adv_l2_eps=0.4,199.0,fc2,0.696225643157959,0.27671317452911154,6,55.0659217312932
H1,adv_l2_eps=0.4,58.0,fc2,0.554502546787262,0.10485866601611006,6,6.081802628934383
