H,condition,distance,layer,metric,sample_id
0,permutation_seed=29,24.474624178145127,fc3,wasserstein,0
1,permutation_seed=29,11.966973087395772,fc3,wasserstein,0
0,permutation_seed=29,0.0,pooled,wasserstein,0
1,permutation_seed=29,0.0,pooled,wasserstein,0
0,adv_pgd_l2_eps=0.2,3.065149299800396,input,wasserstein,1
1,adv_pgd_l2_eps=0.2,3.169725750668063,input,wasserstein,1
0,adv_pgd_l2_eps=0.2,11.04376032948494,fc1,wasserstein,1
1,adv_pgd_l2_eps=0.2,9.157318234149791,fc1,wasserstein,1
0,adv_pgd_l2_eps=0.2,20.956613421440125,fc2,wasserstein,1
1,adv_pgd_l2_eps=0.2,16.09507432289571,fc2,wasserstein,1
0,adv_pgd_l2_eps=0.2,15.534086346626282,fc3,wasserstein,1
1,adv_pgd_l2_eps=0.2,13.011174889654026,fc3,wasserstein,1
0,adv_pgd_l2_eps=0.2,0.0,pooled,wasserstein,1
1,adv_pgd_l2_eps=0.2,0.0,pooled,wasserstein,1
0,adv_pgd_l2_eps=0.4,1.690091460943222,input,wasserstein,1
1,adv_pgd_l2_eps=0.4,2.8237363481634676,input,wasserstein,1
0,adv_pgd_l2_eps=0.4,13.88133555650711,fc1,wasserstein,1
1,adv_pgd_l2_eps=0.4,11.567195525068257,fc1,wasserstein,1
0,adv_pgd_l2_eps=0.4,23.999278513708262,fc2,wasserstein,1
1,adv_pgd_l2_eps=0.4,19.833921062751006,fc2,wasserstein,1
0,adv_pgd_l2_eps=0.4,10.695508927106857,fc3,wasserstein,1
1,adv_pgd_l2_eps=0.4,11.989358638594219,fc3,wasserstein,1
0,adv_pgd_l2_eps=0.4,0.0,pooled,wasserstein,1
1,adv_pgd_l2_eps=0.4,0.0,pooled,wasserstein,1
0,adv_fgsm_l2_eps=0.2,2.861083984375,input,wasserstein,1
1,adv_fgsm_l2_eps=0.2,3.68977573183372,input,wasserstein,1
0,adv_fgsm_l2_eps=0.2,11.149048656225204,fc1,wasserstein,1
1,adv_fgsm_l2_eps=0.2,10.630539637796748,fc1,wasserstein,1
0,adv_fgsm_l2_eps=0.2,13.538525581359863,fc2,wasserstein,1
1,adv_fgsm_l2_eps=0.2,17.65858226582341,fc2,wasserstein,1
0,adv_fgsm_l2_eps=0.2,15.243477046489716,fc3,wasserstein,1
1,adv_fgsm_l2_eps=0.2,12.875823883575201,fc3,wasserstein,1
0,adv_fgsm_l2_eps=0.2,0.0,pooled,wasserstein,1
1,adv_fgsm_l2_eps=0.2,0.0,pooled,wasserstein,1
0,adv_fgsm_l2_eps=0.4,3.722792997956276,input,wasserstein,1
1,adv_fgsm_l2_eps=0.4,3.977207315379449,input,wasserstein,1
0,adv_fgsm_l2_eps=0.4,7.151761144399643,fc1,wasserstein,1
1,adv_fgsm_l2_eps=0.4,13.813479758796449,fc1,wasserstein,1
0,adv_fgsm_l2_eps=0.4,24.954820215702057,fc2,wasserstein,1
1,adv_fgsm_l2_eps=0.4,18.178299654477325,fc2,wasserstein,1
0,adv_fgsm_l2_eps=0.4,14.960734754800797,fc3,wasserstein,1
1,adv_fgsm_l2_eps=0.4,13.0154099310301,fc3,wasserstein,1
0,adv_fgsm_l2_eps=0.4,0.0,pooled,wasserstein,1
1,adv_fgsm_l2_eps=0.4,0.0,pooled,wasserstein,1
0,adv_cw_l2_eps=0.2,2.188369259238243,input,wasserstein,1
1,adv_cw_l2_eps=0.2,2.4409686641182398,input,wasserstein,1
0,adv_cw_l2_eps=0.2,16.77140587568283,fc1,wasserstein,1
1,adv_cw_l2_eps=0.2,11.396078930239021,fc1,wasserstein,1
0,adv_cw_l2_eps=0.2,26.871968619640125,fc2,wasserstein,1
1,adv_cw_l2_eps=0.2,18.03834344655956,fc2,wasserstein,1
0,adv_cw_l2_eps=0.2,10.43435999751091,fc3,wasserstein,1
1,adv_cw_l2_eps=0.2,12.075704097697665,fc3,wasserstein,1
0,adv_cw_l2_eps=0.2,0.0,pooled,wasserstein,1
1,adv_cw_l2_eps=0.2,0.0,pooled,wasserstein,1
0,adv_cw_l2_eps=0.4,2.1487764194607735,input,wasserstein,1
1,adv_cw_l2_eps=0.4,3.068007529513732,input,wasserstein,1
0,adv_cw_l2_eps=0.4,11.409820824861526,fc1,wasserstein,1
1,adv_cw_l2_eps=0.4,12.471027196302227,fc1,wasserstein,1
0,adv_cw_l2_eps=0.4,28.032018899917603,fc2,wasserstein,1
1,adv_cw_l2_eps=0.4,18.480303914517183,fc2,wasserstein,1
0,adv_cw_l2_eps=0.4,14.635488390922546,fc3,wasserstein,1
1,adv_cw_l2_eps=0.4,16.520134265770736,fc3,wasserstein,1
0,adv_cw_l2_eps=0.4,0.0,pooled,wasserstein,1
1,adv_cw_l2_eps=0.4,0.0,pooled,wasserstein,1
0,noise_floor,3.447831153869629,input,wasserstein,1
1,noise_floor,3.0883167557443696,input,wasserstein,1
0,noise_floor,8.913841605186462,fc1,wasserstein,1
1,noise_floor,9.822480585262626,fc1,wasserstein,1
0,noise_floor,13.851790010929108,fc2,wasserstein,1
1,noise_floor,15.944709095778206,fc2,wasserstein,1
0,noise_floor,12.067967861890793,fc3,wasserstein,1
1,noise_floor,12.046797621799543,fc3,wasserstein,1
0,noise_floor,0.0,pooled,wasserstein,1
1,noise_floor,0.0,pooled,wasserstein,1
0,permutation_seed=0,12.660073846578598,fc1,wasserstein,1
1,permutation_seed=0,10.102603655316091,fc1,wasserstein,1
0,permutation_seed=0,18.742839515209198,fc2,wasserstein,1
1,permutation_seed=0,17.20351432666006,fc2,wasserstein,1
0,permutation_seed=0,17.421508952975273,fc3,wasserstein,1
1,permutation_seed=0,13.292767623161422,fc3,wasserstein,1
0,permutation_seed=0,0.0,pooled,wasserstein,1
1,permutation_seed=0,0.0,pooled,wasserstein,1
0,permutation_seed=1,10.19946175813675,fc1,wasserstein,1
1,permutation_seed=1,10.20589946311504,fc1,wasserstein,1
0,permutation_seed=1,13.32947826385498,fc2,wasserstein,1
1,permutation_seed=1,17.696498979132805,fc2,wasserstein,1
0,permutation_seed=1,21.870096132159233,fc3,wasserstein,1
1,permutation_seed=1,17.147523933904584,fc3,wasserstein,1
0,permutation_seed=1,0.0,pooled,wasserstein,1
1,permutation_seed=1,0.0,pooled,wasserstein,1
0,permutation_seed=2,16.100035458803177,fc1,wasserstein,1
1,permutation_seed=2,11.093937438903723,fc1,wasserstein,1
0,permutation_seed=2,17.675930380821228,fc2,wasserstein,1
1,permutation_seed=2,17.32709547338697,fc2,wasserstein,1
0,permutation_seed=2,31.39700014049756,fc3,wasserstein,1
1,permutation_seed=2,16.085888878750957,fc3,wasserstein,1
0,permutation_seed=2,0.0,pooled,wasserstein,1
1,permutation_seed=2,0.0,pooled,wasserstein,1
0,permutation_seed=3,7.345005244016647,fc1,wasserstein,1
1,permutation_seed=3,10.427016608596283,fc1,wasserstein,1
0,permutation_seed=3,20.189059287309647,fc2,wasserstein,1
1,permutation_seed=3,18.821716221460417,fc2,wasserstein,1
0,permutation_seed=3,14.041099801659584,fc3,wasserstein,1
1,permutation_seed=3,12.55348694074417,fc3,wasserstein,1
0,permutation_seed=3,0.0,pooled,wasserstein,1
1,permutation_seed=3,0.0,pooled,wasserstein,1
0,permutation_seed=4,11.530028373003006,fc1,wasserstein,1
1,permutation_seed=4,9.568438573896762,fc1,wasserstein,1
0,permutation_seed=4,21.094086349010468,fc2,wasserstein,1
1,permutation_seed=4,17.226692645221267,fc2,wasserstein,1
0,permutation_seed=4,13.678078711032867,fc3,wasserstein,1
1,permutation_seed=4,17.104660634022018,fc3,wasserstein,1
0,permutation_seed=4,0.0,pooled,wasserstein,1
1,permutation_seed=4,0.0,pooled,wasserstein,1
0,permutation_seed=5,11.473821491003036,fc1,wasserstein,1
1,permutation_seed=5,10.9184048966648,fc1,wasserstein,1
0,permutation_seed=5,21.44424331188202,fc2,wasserstein,1
1,permutation_seed=5,13.915380973245133,fc2,wasserstein,1
0,permutation_seed=5,14.335212618112564,fc3,wasserstein,1
1,permutation_seed=5,15.189029071781412,fc3,wasserstein,1
0,permutation_seed=5,0.0,pooled,wasserstein,1
1,permutation_seed=5,0.0,pooled,wasserstein,1
0,permutation_seed=6,8.012303173542023,fc1,wasserstein,1
1,permutation_seed=6,10.227982518482424,fc1,wasserstein,1
0,permutation_seed=6,14.746629565954208,fc2,wasserstein,1
1,permutation_seed=6,14.012808194764338,fc2,wasserstein,1
0,permutation_seed=6,11.898203402757645,fc3,wasserstein,1
